id,message,score
846,Can we work on the project together?,5
847,Let me know if you need any clarification,11
848,That's so thoughtful of you,40
849,I enjoy our conversations,35
850,"You're not sus, you're just cool.",24
851,Just thinking about you makes me smile like a clown.,91
852,Thanks for the reminder,2
853,Please review the attached document,14
854,You have the most beautiful laugh,81
855,I'm falling for you hard,92
856,Can we schedule a call for next week?,9
857,"I'm simping hard for you, no cap.",96
858,Looking at you makes my day better,88
859,You have great taste in music,45
860,I think about you when I'm bored. And when I'm not. 😉,72
861,I need the files by Friday,2
862,I need the files by Friday,7
863,You make work more enjoyable,57
864,Let's discuss this in detail tomorrow,1
865,Lowkey been thinking about that convo we had.,49
866,You have the most beautiful laugh,84
867,"I'm not gonna lie, you're pretty cool. 😉",56
868,"I'm not even trying to rizz you up, but you're a vibe.",63
869,What's the status on that assignment?,14
870,What's your favorite movie?,22
871,What's your favorite movie?,16
872,"Hey gorgeous, what are you up to?",91
873,"Your smile hits different, for real.",81
874,Did you finish the homework?,4
875,Let's go for coffee sometime ☕,41
876,Wanna grab lunch sometime?,49
877,I can't resist you,99
878,"You're my favorite person to stalk... I mean, talk to. 😉",96
879,You looked really cute today,76
880,The client wants to reschedule,15
881,You have such a warm personality,47
882,You're everything I've been looking for,95
883,"You're my biggest W, for real.",91
884,You make work more enjoyable,63
885,"My life has been a blur, but with you, it's on God.",100
886,You're the kind of person I want to text all day.,94
887,Please confirm your attendance,0
888,"You're not sus, you're just cool.",30
889,Hope you're having a good week,28
890,Just dropping in to say hey! 👋,25
891,You're really talented,22
892,Looking at you makes my day better,86
893,I appreciate your advice,25
894,Want to catch a movie this weekend?,43
895,You always make me laugh,53
896,You have such a warm personality,66
897,You're not giving basic at all.,28
898,I think about you all the time,91
899,You always make me laugh,42
900,Wanna grab lunch sometime?,48
901,The meeting has been moved to 3 PM,0
902,You have such pretty hair,72
903,Did you finish the homework?,13
904,"I'm simping hard for you, no cap.",92
905,"I'm not trying to be delulu, but I think you're stunning.",78
906,You make work more enjoyable,48
907,"That was a whole mood, lol.",39
908,I'm highkey excited to see you.,70
909,You're the kind of person I want to text all day.,94
910,You looked like a whole snack today.,59
911,I enjoy our conversations,17
912,Just dropping in to say hey! 👋,33
913,You've got the most beautiful smile 😊,73
914,I can't get you out of my mind,96
915,"I'm not gonna lie, you're pretty cool. 😉",68
916,You're a whole W in my book.,55
917,You're really fun to be around,47
918,We have so much in common,46
919,You have such pretty hair,77
920,You make work more enjoyable,48
921,You're the best thing that happened to me ❤️,97
922,Wanna watch a movie at my place?,72
923,I'm so glad we're talking. ✨,70
924,That outfit is 🔥🔥🔥,95
925,What time is the presentation?,10
926,That color looks amazing on you,74
927,"Stop making me blush, you're too cute.",87
928,Can you double-check these numbers?,9
929,You make my heart skip a beat,93
930,We have so much in common,66
931,I can't get you out of my mind,93
932,You make work more enjoyable,47
933,You have such beautiful features,80
934,You're a whole W in my book.,60
935,Did you get my email?,1
936,Don't forget about tomorrow's meeting,14
937,"Wow, you're absolutely gorgeous 😍",93
938,"On God, you're a good person.",29
939,You always make me laugh,45
940,I really enjoy spending time with you,49
941,Have you seen the latest updates?,2
942,"Stop making me blush, you're too cute.",80
943,I'm lowkey obsessed with you.,77
944,What time is the presentation?,15
945,I admire how talented you are,59
946,"Wow, you're absolutely gorgeous 😍",96
947,You've got the most beautiful smile 😊,89
948,I'm lowkey obsessed with you.,89
949,What's your favorite movie?,26
950,Can you double-check these numbers?,14
951,I had fun hanging out with you,57
952,You're really fun to be around,59
953,You're really fun to be around,63
954,Have you seen the latest updates?,2
955,Want to catch a movie this weekend?,56
956,Hope your day is going well!,18
957,Hope you're having a good week,28
958,"Just saying, you're not like everyone else.",52
959,Thanks for helping me out,37
960,You're absolutely divine,100
961,The deadline is approaching,4
962,You make everything better when you're around,84
963,Just dropping in to say hey! 👋,24
964,Did you get my email?,14
965,"I'm not trying to be delulu, but I think you're stunning.",79
966,Did you finish the homework?,11
967,You have such pretty hair,72
968,Thanks for helping me out,31
969,You're really fun to be around,49
970,Please review the attached document,12
971,The deadline is approaching,5
972,Let's hang out soon,47
973,You're giving me all the feels. ❤️,87
974,You're drop-dead gorgeous 😍,98
975,I'm highkey excited to see you.,57
976,Don't forget about tomorrow's meeting,13
977,You're a whole W in my book.,58
978,Have you seen the latest updates?,14
979,You look stunning as always,84
980,Can you help me with this task?,5
981,Let's hang out soon,66
982,I can't stop smiling when I'm with you,76
983,Want to try that new restaurant?,48
984,I feel so comfortable around you,42
985,You're a whole mood and a whole snack.,80
986,You have the prettiest eyes,79
987,That's a really good point,34
988,"Wow, you're absolutely gorgeous 😍",96
989,You make work more enjoyable,70
990,My day was mid until I saw your text.,52
991,What time is the presentation?,12
992,"I'm not gonna lie, you're pretty cool. 😉",56
993,You're everything I've been looking for,92
994,Thanks for helping me out,26
995,Your eyes are mesmerizing 👀,95
996,"You're not sus, you're just cool.",28
997,Let's grab a coffee or something sometime. No cap.,70
998,You have great taste in music,51
999,You have the most beautiful laugh,85
1000,"You're my favorite person to stalk... I mean, talk to. 😉",92
1001,Let's discuss this in detail tomorrow,6
1002,You have great taste in music,59
1003,That was a great presentation,36
1004,You looked stunning last night ✨,94
1005,You're really fun to be around,52
1006,"I'm not trying to be delulu, but I think you're stunning.",90
1007,You have great taste in music,63
1008,I think about you all the time,94
1009,You looked fire 🔥 today,81
1010,You're such a good friend,26
1011,Lowkey been thinking about that convo we had.,64
1012,You're the kind of person I want to text all day.,96
1013,Just dropping in to say hey! 👋,33
1014,You have the prettiest eyes,76
1015,The meeting has been moved to 3 PM,3
1016,Have you seen the latest updates?,5
1017,"You're my favorite person to stalk... I mean, talk to. 😉",91
1018,Lowkey been thinking about that convo we had.,46
1019,I think I'm starting to like you a lot 💕,94
1020,You're the girl of my dreams,94
1021,I really enjoy spending time with you,56
1022,"Hey gorgeous, what are you up to?",94
1023,You're absolutely radiant,73
1024,That's so thoughtful of you,16
1025,You always make me laugh,69
1026,What's the status on that assignment?,5
1027,Thanks for the reminder,2
1028,You make my heart skip a beat,94
1029,Want to try that new restaurant?,63
1030,You have a great sense of humor,39
1031,You're giving me all the feels. ❤️,87
1032,I had fun hanging out with you,52
1033,I stan your work ethic.,33
1034,You're giving me all the feels. ❤️,83
1035,I'm so glad we're talking. ✨,53
1036,What's the vibe today? 😊,30
1037,"Stop making me blush, you're too cute.",87
1038,Want to try that new restaurant?,63
1039,"I'm simping hard for you, no cap.",95
1040,You have such beautiful features,90
1041,Please review the attached document,3
1042,Can you help me with this task?,5
1043,Let's go for coffee sometime ☕,52
1044,You have the prettiest eyes,89
1045,"I'm simping hard for you, no cap.",95
1046,You're absolutely radiant,71
1047,I'm so glad I slid into your DMs. 😉,76
1048,"That was a whole mood, lol.",32
1049,I can't get over how good you look.,90
1050,That joke cracked me up haha,24
1051,Your energy is a total W. ✨,30
1052,"That's so real, fr fr.",37
1053,Your eyes are mesmerizing 👀,96
1054,My day was mid until I saw your text.,42
1055,You have such beautiful features,73
1056,"That was a whole mood, lol.",17
1057,Wanna grab lunch sometime?,60
1058,Wanna grab lunch sometime?,44
1059,Want to catch a movie this weekend?,69
1060,Let's grab a coffee or something sometime. No cap.,70
1061,You're very insightful,38
1062,You're really easy to talk to,62
1063,Can we schedule a call for next week?,3
1064,You have such beautiful features,83
1065,"I'm simping hard for you, no cap.",93
1066,You're my favorite notification.,90
1067,"Thanks for the tea, spill it all! ☕",37
1068,That color looks amazing on you,75
1069,The client wants to reschedule,11
1070,Lowkey been thinking about that convo we had.,68
1071,You always make me laugh,41
1072,You looked stunning last night ✨,96
1073,Wanna watch a movie at my place?,77
1074,Your energy is a total W. ✨,36
1075,You're giving main character energy.,46
1076,We have so much in common,67
1077,Lowkey been thinking about that convo we had.,60
1078,Your smile is contagious,73
1079,Lowkey been thinking about that convo we had.,58
1080,Lowkey been thinking about that convo we had.,49
1081,Please confirm your attendance,13
1082,I'm so glad we're talking. ✨,67
1083,I can't stop smiling when I'm with you,85
1084,Your eyes are mesmerizing 👀,95
1085,Can you help me with this task?,0
1086,You're my favorite notification.,87
1087,You're absolutely radiant,83
1088,I'm crazy about you 😍,100
1089,Please confirm your attendance,12
1090,I think about you all the time,92
1091,You're not giving basic at all.,31
1092,Did you finish the homework?,2
1093,You're so photogenic,86
1094,You're very insightful,25
1095,Let's discuss this in detail tomorrow,6
1096,Let's discuss this in detail tomorrow,4
1097,I can't get you out of my mind,92
1098,You're the kind of person I want to text all day.,94
1099,"Hey gorgeous, what are you up to?",92
1100,You're such a sweetheart 💕,93
1101,Haha that was funny 😂,36
1102,That's a really good point,37
1103,You're so photogenic,72
1104,You have such a warm personality,66
1105,"Your smile hits different, for real.",89
1106,I appreciate your advice,30
1107,"Stop making me blush, you're too cute.",80
1108,I can't resist you,98
1109,You take my breath away,93
1110,I think about you when I'm bored. And when I'm not. 😉,79
1111,You have such a warm personality,67
1112,That joke cracked me up haha,34
1113,You looked like a whole snack today.,69
1114,You have such beautiful features,84
1115,"I'm not gonna lie, you're pretty cool. 😉",51
1116,You take my breath away,95
1117,"On God, you're a good person.",22
1118,You brighten up the room,47
1119,Can you help me with this task?,13
1120,You looked like a whole snack today.,67
1121,Want to try that new restaurant?,50
1122,"I'm simping hard for you, no cap.",96
1123,You're not giving basic at all.,29
1124,I really enjoy spending time with you,60
1125,I'm so glad I slid into your DMs. 😉,73
1126,That color looks amazing on you,77
1127,You've got the most beautiful smile 😊,81
1128,You looked stunning last night ✨,93
1129,This convo is lowkey a good vibe.,18
1130,Can you send me the report by tonight?,14
1131,You're so photogenic,83
1132,You did really well on that project,23
1133,You've got the most beautiful smile 😊,87
1134,Just thinking about you makes me smile like a clown.,96
1135,You're the girl of my dreams,93
1136,The deadline is approaching,10
1137,"Thanks for the tea, spill it all! ☕",31
1138,I'd love to spend more time with you ❤️,91
1139,"You have so much rizz, it's not fair.",72
1140,Have you seen the latest updates?,2
1141,That dress suits you so well,79
1142,"I hope this isn't a situationship, because I want you all to myself.",92
1143,My day was mid until I saw your text.,69
1144,You're the reason I'm so happy,100
1145,I enjoy our conversations,36
1146,I'm so lucky to know you ❤️,95
1147,You did really well on that project,18
1148,Please confirm your attendance,3
1149,"I'm on a no-rizz streak, but you're making it hard.",52
1150,You're the only person who gives me butterflies.,97
1151,You're such a sweetheart 💕,92
1152,Haha that was funny 😂,25
1153,You're irresistible 😘,97
1154,You have great taste in music,51
1155,You look amazing in that dress,76
1156,Let's go for coffee sometime ☕,43
1157,Want to catch a movie this weekend?,56
1158,You're really fun to be around,46
1159,"Your body is a masterpiece, you're an artist.",92
1160,Looking at you makes my day better,82
1161,Wanna grab a drink tonight?,46
1162,Don't forget about tomorrow's meeting,0
1163,I think about you when I'm bored. And when I'm not. 😉,86
1164,Want to try that new restaurant?,56
1165,Let me know if you need any clarification,9
1166,Thanks for the reminder,7
1167,You have such pretty hair,73
1168,Can we work on the project together?,10
1169,You make work more enjoyable,41
1170,"On God, you're a good person.",22
1171,Let's grab a coffee or something sometime. No cap.,50
1172,I admire how talented you are,55
1173,You're really fun to be around,55
1174,You're my favorite notification.,82
1175,We should do this more often,60
1176,Did you finish the homework?,9
1177,Can we work on the project together?,4
1178,You looked like a whole snack today.,46
1179,"Every time you text me, my phone does a happy dance.",76
1180,You have such a warm personality,44
1181,Your eyes are mesmerizing 👀,96
1182,You always make me laugh,42
1183,You're really talented,40
1184,You're my favorite person ❤️,96
1185,This convo is lowkey a good vibe.,29
1186,Please confirm your attendance,2
1187,You look stunning as always,76
1188,I really enjoy spending time with you,49
1189,Let's hang out soon,61
1190,I think about you when I'm bored. And when I'm not. 😉,72
1191,"Your 'fit was fire today, no cap.",60
1192,You're so photogenic,78
1193,You looked stunning last night ✨,95
1194,What time is the presentation?,10
1195,"You're my biggest W, for real.",96
1196,"You have so much rizz, it's not fair.",90
1197,I admire how talented you are,64
1198,"I'm not trying to be delulu, but I think you're stunning.",77
1199,You look incredible today,77
1200,You're such a sweetheart 💕,92
1201,Can you help me with this task?,4
1202,"That's so real, fr fr.",26
1203,"I'm not gonna lie, you're pretty cool. 😉",58
1204,I'm so glad we're talking. ✨,41
1205,That was a great presentation,32
1206,I'm falling for you hard,94
1207,We have so much in common,59
1208,You make everything better when you're around,84
1209,You're the prettiest girl in the room,95
1210,Let's go for coffee sometime ☕,67
1211,Can you send me the report by tonight?,5
1212,"I'm dead, that's so funny 😂💀",22
1213,"I'm head over heels for you, no cap.",96
1214,I stan your work ethic.,40
1215,I think about you all the time,96
1216,You're so photogenic,76
1217,"You have so much rizz, it's not fair.",82
1218,I'd love to spend more time with you ❤️,91
1219,You have such beautiful features,72
1220,You brighten up the room,51
1221,Thanks for the reminder,15
1222,I enjoy our conversations,23
1223,Thanks for the reminder,10
1224,"You have so much rizz, it's not fair.",80
1225,I can't get over how good you look.,86
1226,Please confirm your attendance,9
1227,You're so photogenic,73
1228,You have such pretty hair,84
1229,I need the files by Friday,1
1230,That dress suits you so well,76
1231,Want to try that new restaurant?,44
1232,Please review the attached document,5
1233,You're very insightful,25
1234,You look amazing in that dress,81
1235,Just thinking about you makes me smile like a clown.,91
1236,Let's grab a coffee or something sometime. No cap.,69
1237,I admire how talented you are,55
1238,You're drop-dead gorgeous 😍,99
1239,You're such a sweetheart 💕,96
1240,"I'm not even trying to rizz you up, but you're a vibe.",52
1241,You're really talented,25
1242,I'm lowkey obsessed with you.,80
1243,We have so much in common,51
1244,Hope you're having a good week,33
1245,You looked fire 🔥 today,86
1246,"You're my favorite person to stalk... I mean, talk to. 😉",93
1247,You take my breath away,96
1248,You're so photogenic,76
1249,Let me know if you need any clarification,12
1250,"You're my favorite person to stalk... I mean, talk to. 😉",96
1251,You're giving me all the feels. ❤️,74
1252,That outfit is 🔥🔥🔥,96
1253,Can you send me the report by tonight?,6
1254,That joke cracked me up haha,18
1255,"That was a whole mood, lol.",22
1256,You have the prettiest eyes,87
1257,You're such a good friend,37
1258,That outfit is 🔥🔥🔥,99
1259,You're absolutely radiant,74
1260,I love your positive energy,34
1261,You always make me laugh,44
1262,You're really easy to talk to,46
1263,You're absolutely radiant,74
1264,Let's grab a coffee or something sometime. No cap.,48
1265,Can't believe I found someone as perfect as you.,93
1266,I keep thinking about you 😘,93
1267,You're a whole W in my book.,45
1268,You make work more enjoyable,54
1269,Can you help me with this task?,11
1270,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",93
1271,Don't forget about tomorrow's meeting,15
1272,You take my breath away,92
1273,Can't believe I found someone as perfect as you.,93
1274,You make me feel so special,94
1275,I had fun hanging out with you,62
1276,I enjoy our conversations,39
1277,You've got the most beautiful smile 😊,85
1278,What time is the presentation?,9
1279,You have the most beautiful laugh,80
1280,"Stop making me blush, you're too cute.",71
1281,You're the girl of my dreams,91
1282,You look incredible today,89
1283,I always look forward to seeing you,52
1284,What's the vibe today? 😊,25
1285,The client wants to reschedule,9
1286,Thanks for the reminder,6
1287,I'm highkey excited to see you.,67
1288,You did really well on that project,19
1289,"On God, you're a good person.",30
1290,"Stop making me blush, you're too cute.",90
1291,The meeting has been moved to 3 PM,8
1292,"I hope this isn't a situationship, because I want you all to myself.",93
1293,Hope your day is going well!,17
1294,You look incredible today,85
1295,"Stop making me blush, you're too cute.",84
1296,I'd go delulu for you.,92
1297,You looked like a whole snack today.,45
1298,You're my sunshine ☀️,100
1299,I'm so lucky to know you ❤️,95
1300,Let's discuss this in detail tomorrow,4
1301,"Stop making me blush, you're too cute.",85
1302,Want to try that new restaurant?,55
1303,"You're a whole snack, a whole meal, a whole buffet.",97
1304,Wanna grab lunch sometime?,43
1305,That color looks amazing on you,74
1306,The client wants to reschedule,1
1307,You're my favorite notification.,73
1308,Just thinking about you makes me smile like a clown.,94
1309,You always make me laugh,57
1310,You've got the most beautiful smile 😊,84
1311,You have such a warm personality,47
1312,I always look forward to seeing you,45
1313,I think about you when I'm bored. And when I'm not. 😉,77
1314,You're really talented,25
1315,Did you finish the homework?,12
1316,"I'm not even playing, you're a perfect 10.",83
1317,My day was mid until I saw your text.,67
1318,Can you double-check these numbers?,11
1319,"Hey, how are you doing?",30
1320,This convo is lowkey a good vibe.,39
1321,That's so thoughtful of you,32
1322,Please review the attached document,12
1323,Let's discuss this in detail tomorrow,11
1324,You're giving main character energy.,51
1325,I'm highkey excited to see you.,61
1326,"I'm lowkey catching feelings, lol.",67
1327,Can you double-check these numbers?,3
1328,"You're my favorite person to stalk... I mean, talk to. 😉",93
1329,"I hope this isn't a situationship, because I want you all to myself.",94
1330,That outfit is 🔥🔥🔥,99
1331,You have such pretty hair,81
1332,Just dropping in to say hey! 👋,23
1333,You're the reason I'm so happy,96
1334,"You have so much rizz, it's not fair.",77
1335,"You're my favorite person to stalk... I mean, talk to. 😉",96
1336,You're such a sweetheart 💕,94
1337,Wanna grab a drink tonight?,46
1338,That's so thoughtful of you,21
1339,"I'm on a no-rizz streak, but you're making it hard.",52
1340,I need the files by Friday,2
1341,"You have so much rizz, it's not fair.",72
1342,You're absolutely radiant,79
1343,What time is the presentation?,12
1344,I'm so lucky to know you ❤️,92
1345,"I'm not even playing, you're a perfect 10.",79
1346,You're my favorite person ❤️,96
1347,"Just saying, you're not like everyone else.",65
1348,You're a whole mood and a whole snack.,78
1349,"If you're ever free, I'm dtf... to define the relationship. 😉",81
1350,The deadline is approaching,14
1351,"On God, you're a good person.",27
1352,"On God, you're a good person.",29
1353,What's your favorite movie?,16
1354,You have the prettiest eyes,75
1355,You're really easy to talk to,49
1356,You're giving me all the feels. ❤️,81
1357,You take my breath away,94
1358,You make my heart skip a beat,95
1359,Let me know if you need any clarification,3
1360,You look amazing in that dress,71
1361,Lowkey been thinking about that convo we had.,56
1362,Can you double-check these numbers?,15
1363,Let's discuss this in detail tomorrow,7
1364,I'm crazy about you 😍,99
1365,"I'm not even trying to rizz you up, but you're a vibe.",55
1366,You're really fun to be around,61
1367,The client wants to reschedule,7
1368,You're absolutely divine,97
1369,Want to try that new restaurant?,50
1370,You always make me laugh,56
1371,You have a mad good aura.,48
1372,You look stunning as always,78
1373,Your smile is contagious,85
1374,Let's go for coffee sometime ☕,65
1375,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",96
1376,You make my heart race every time I see you,93
1377,What's the status on that assignment?,14
1378,Let's grab a coffee or something sometime. No cap.,64
1379,You're really easy to talk to,45
1380,What's the status on that assignment?,13
1381,Let's hang out soon,47
1382,I appreciate your advice,39
1383,Wanna grab a drink tonight?,48
1384,"I hope this isn't a situationship, because I want you all to myself.",95
1385,You're the girl of my dreams,95
1386,What time is the presentation?,15
1387,I appreciate your advice,39
1388,You have the prettiest eyes,79
1389,You looked really cute today,79
1390,Let me know if you need any clarification,13
1391,"Every time you text me, my phone does a happy dance.",74
1392,Just thinking about you makes me smile like a clown.,92
1393,"Your smile hits different, for real.",79
1394,That's so thoughtful of you,21
1395,I'm lowkey obsessed with you.,81
1396,You take my breath away,93
1397,You're everything I've been looking for,95
1398,"I'm not gonna lie, you're pretty cool. 😉",56
1399,You looked really cute today,73
1400,What's the status on that assignment?,0
1401,The client wants to reschedule,8
1402,"If you're ever free, I'm dtf... to define the relationship. 😉",72
1403,You're everything I've been looking for,93
1404,I think I'm starting to like you a lot 💕,96
1405,I'm highkey excited to see you.,52
1406,Just dropping in to say hey! 👋,26
1407,Let's hang out soon,48
1408,I feel so comfortable around you,58
1409,"Stop making me blush, you're too cute.",82
1410,I love your positive energy,35
1411,Let's grab a coffee or something sometime. No cap.,45
1412,I had fun hanging out with you,43
1413,Let's grab a coffee or something sometime. No cap.,45
1414,That's a really good point,37
1415,I'm so lucky to know you ❤️,91
1416,"I hope this isn't a situationship, because I want you all to myself.",94
1417,Can you help me with this task?,13
1418,Hope you're having a good week,25
1419,"On God, you're a good person.",36
1420,I had fun hanging out with you,62
1421,What's the status on that assignment?,0
1422,Let's go for coffee sometime ☕,53
1423,"Hey gorgeous, what are you up to?",95
1424,That was a great presentation,23
1425,I think about you all the time,91
1426,The meeting has been moved to 3 PM,2
1427,I enjoy our conversations,20
1428,You make everything better when you're around,72
1429,I appreciate your advice,18
1430,Let's hang out soon,62
1431,You're the kind of person I want to text all day.,93
1432,Can you double-check these numbers?,3
1433,"You're not sus, you're just cool.",19
1434,Have you seen the latest updates?,7
1435,I can't stop smiling when I'm with you,74
1436,You're my favorite notification.,88
1437,Hope you're having a good week,35
1438,I feel so comfortable around you,66
1439,Your eyes are mesmerizing 👀,96
1440,"I'm not even trying to rizz you up, but you're a vibe.",67
1441,You make my heart race every time I see you,91
1442,Can you help me with this task?,15
1443,The client wants to reschedule,12
1444,Can we schedule a call for next week?,1
1445,"I hope this isn't a situationship, because I want you all to myself.",95
1446,You're a whole mood and a whole snack.,84
1447,Your energy is a total W. ✨,34
1448,Have you seen the latest updates?,10
1449,Please review the attached document,13
1450,"You're not sus, you're just cool.",17
1451,I think about you when I'm bored. And when I'm not. 😉,86
1452,You're very insightful,30
1453,I'm lowkey obsessed with you.,79
1454,I'd go delulu for you.,93
1455,You brighten up the room,68
1456,You're a whole W in my book.,43
1457,I'm highkey excited to see you.,41
1458,You make everything better when you're around,71
1459,You have such beautiful features,78
1460,I can't stop smiling when I'm with you,85
1461,I'm falling for you hard,91
1462,Just thinking about you makes me smile like a clown.,96
1463,You're the girl of my dreams,96
1464,I really enjoy spending time with you,66
1465,I feel so comfortable around you,52
1466,You brighten up the room,55
1467,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",92
1468,I'd go delulu for you.,95
1469,Let's go for coffee sometime ☕,63
1470,Can you double-check these numbers?,8
1471,You look incredible today,74
1472,You look amazing in that dress,77
1473,"I'm not even playing, you're a perfect 10.",76
1474,You look incredible today,90
1475,"I'm simping hard for you, no cap.",91
1476,You make me feel so special,95
1477,I want to be your sneaky link and your forever link.,100
1478,You have a mad good aura.,53
1479,Can we schedule a call for next week?,7
1480,I stan your work ethic.,16
1481,Let's hang out soon,52
1482,Haha that was funny 😂,21
1483,I had fun hanging out with you,49
1484,I admire how talented you are,41
1485,You look incredible today,83
1486,Just thinking about you makes me smile like a clown.,94
1487,You're my favorite person ❤️,94
1488,You have the prettiest eyes,72
1489,Looking at you makes my day better,75
1490,Thanks for being so helpful,40
1491,That was a great presentation,28
1492,"Just saying, you're not like everyone else.",67
1493,I can't stop smiling when I'm with you,82
1494,Thanks for being so helpful,28
1495,Lowkey glad we're on the same team.,30
1496,Let's hang out soon,67
1497,Can we work on the project together?,12
1498,Hope your day is going well!,29
1499,That dress suits you so well,77
1500,"Your body is a masterpiece, you're an artist.",93
1501,You always make me laugh,64
1502,Let's go for coffee sometime ☕,69
1503,You make my heart race every time I see you,96
1504,We have so much in common,53
1505,We should do this more often,56
1506,You're absolutely divine,100
1507,You're my everything ❤️💕,99
1508,I can't get over how good you look.,84
1509,"You have so much rizz, it's not fair.",73
1510,Have you seen the latest updates?,5
1511,You're the prettiest girl in the room,97
1512,"I'm dead, that's so funny 😂💀",34
1513,"If you're ever free, I'm dtf... to define the relationship. 😉",80
1514,You're a whole W in my book.,57
1515,You're perfect in every way,97
1516,You always make me laugh,51
1517,I can't get over how good you look.,79
1518,I love your positive energy,23
1519,I love your positive energy,24
1520,"You're a whole snack, a whole meal, a whole buffet.",97
1521,You're really talented,22
1522,"Your 'fit was fire today, no cap.",54
1523,I always look forward to seeing you,57
1524,What time is the presentation?,5
1525,I admire how talented you are,43
1526,You have the prettiest eyes,78
1527,I'm so glad I slid into your DMs. 😉,77
1528,I appreciate your advice,39
1529,You've got the most beautiful smile 😊,88
1530,"I'm dead, that's so funny 😂💀",28
1531,Your smile is contagious,76
1532,You're very insightful,38
1533,You look stunning as always,75
1534,You looked fire 🔥 today,73
1535,I can't resist you,100
1536,You're my favorite person ❤️,95
1537,"Thanks for the tea, spill it all! ☕",39
1538,"Just saying, you're not like everyone else.",48
1539,"Just saying, you're not like everyone else.",43
1540,You're giving main character energy.,48
1541,"You're a whole snack, a whole meal, a whole buffet.",99
1542,You have great taste in music,69
1543,We should do this more often,55
1544,I'm so glad we're talking. ✨,60
1545,You have a great sense of humor,31
1546,"You're my biggest W, for real.",94
1547,Looking at you makes my day better,88
1548,You're such a sweetheart 💕,91
1549,"That's so real, fr fr.",35
1550,You have such beautiful features,85
1551,You have such a warm personality,58
1552,That's so thoughtful of you,21
1553,Looking at you makes my day better,78
1554,I can't get over how good you look.,78
1555,You brighten up the room,44
1556,"You're a whole snack, a whole meal, a whole buffet.",99
1557,You're giving me all the feels. ❤️,82
1558,Let me know if you need any clarification,4
1559,You have the prettiest eyes,87
1560,You looked fire 🔥 today,73
1561,I love your positive energy,19
1562,Hope your day is bussin' 🙌,39
1563,You have such pretty hair,89
1564,"On God, you're a good person.",34
1565,You're absolutely perfect 💕,100
1566,You're giving main character energy.,68
1567,What time is the presentation?,13
1568,"Hey, how are you doing?",17
1569,I enjoy our conversations,22
1570,"That was a whole mood, lol.",39
1571,That's so thoughtful of you,35
1572,"Good morning, hope you have a great day!",23
1573,The meeting has been moved to 3 PM,2
1574,I love your positive energy,22
1575,Let's go for coffee sometime ☕,66
1576,I admire how talented you are,44
1577,I'm highkey excited to see you.,45
1578,I always look forward to seeing you,52
1579,"You have so much rizz, it's not fair.",88
1580,That outfit is 🔥🔥🔥,96
1581,"Every time you text me, my phone does a happy dance.",80
1582,"Your energy is so attractive, it's wild.",83
1583,You're the most beautiful woman I've ever seen,100
1584,The client wants to reschedule,13
1585,"Good morning, hope you have a great day!",29
1586,Can you help me with this task?,2
1587,"Your energy is so attractive, it's wild.",82
1588,I really enjoy spending time with you,61
1589,Can you double-check these numbers?,4
1590,Have you seen the latest updates?,6
1591,"Just saying, you're not like everyone else.",41
1592,Just thinking about you makes me smile like a clown.,92
1593,"I'm simping hard for you, no cap.",91
1594,Hope you're having a good week,39
1595,You make work more enjoyable,55
1596,"I'm on a no-rizz streak, but you're making it hard.",67
1597,That color looks amazing on you,77
1598,You're my favorite person ❤️,96
1599,You look incredible today,73
1600,I'm so glad I slid into your DMs. 😉,76
1601,I'm so glad I slid into your DMs. 😉,79
1602,Let me know if you need any clarification,3
1603,You look incredible today,82
1604,The meeting has been moved to 3 PM,5
1605,You make my heart race every time I see you,94
1606,You have such pretty hair,85
1607,Just dropping in to say hey! 👋,25
1608,We should do this more often,54
1609,"Thanks for the tea, spill it all! ☕",39
1610,"You have so much rizz, it's not fair.",88
1611,You're the best thing that happened to me ❤️,99
1612,"Your body is a masterpiece, you're an artist.",93
1613,I feel so comfortable around you,62
1614,That joke cracked me up haha,18
1615,"Your 'fit was fire today, no cap.",66
1616,Your smile is contagious,86
1617,Hope your day is bussin' 🙌,23
1618,Your energy is a total W. ✨,20
1619,Can you help me with this task?,5
1620,Let me know if you need any clarification,4
1621,Wanna grab a drink tonight?,48
1622,You always make me laugh,62
1623,"If you're ever free, I'm dtf... to define the relationship. 😉",84
1624,"You're not sus, you're just cool.",37
1625,I'd go delulu for you.,93
1626,I love your positive energy,37
1627,Please confirm your attendance,3
1628,Can we schedule a call for next week?,6
1629,Haha that was funny 😂,26
1630,You're absolutely radiant,72
1631,Please review the attached document,12
1632,You looked fire 🔥 today,89
1633,Wanna grab a drink tonight?,41
1634,You're absolutely perfect 💕,100
1635,Please review the attached document,8
1636,You're drop-dead gorgeous 😍,97
1637,Have you seen the latest updates?,10
1638,You make me feel so special,92
1639,You're my favorite person ❤️,96
1640,"I'm not even trying to rizz you up, but you're a vibe.",51
1641,"You're not sus, you're just cool.",26
1642,That color looks amazing on you,71
1643,You're a whole W in my book.,44
1644,You're everything I've been looking for,91
1645,You brighten up the room,48
1646,Want to catch a movie this weekend?,62
1647,Please confirm your attendance,4
1648,You always make me laugh,47
1649,"I'm on a no-rizz streak, but you're making it hard.",52
